iter	RMSE
0	22083.8981
1	21176.7261
2	20270.91129
3	19600.75342
4	19026.14529
5	18398.40827
6	17868.43951
7	17398.34879
8	16999.62866
9	16672.25446
10	16412.80032
11	16144.57075
12	15928.07036
13	15709.77514
14	15498.57896
15	15308.71531
16	15105.75495
17	14889.4892
18	14760.85567
19	14613.06714
20	14498.25906
21	14375.12105
22	14248.40483
23	14125.23158
24	14039.25703
25	13927.4549
26	13810.52594
27	13729.91206
28	13640.6269
29	13560.81047
30	13499.66856
31	13444.99485
32	13386.83075
33	13313.93149
34	13254.51743
35	13207.19848
36	13170.83818
37	13130.23914
38	13100.53128
39	13054.78065
40	13014.48645
41	12986.42799
42	12947.61395
43	12912.56318
44	12883.32734
45	12852.88459
46	12823.40479
47	12789.69863
48	12753.35784
49	12718.89431
50	12694.80274
51	12660.56901
52	12640.13261
53	12619.51888
54	12595.18247
55	12567.44875
56	12549.49882
57	12521.49115
58	12504.39301
59	12479.74825
60	12450.8067
61	12433.89025
62	12414.22906
63	12386.30585
64	12363.37656
65	12341.66583
66	12318.50736
67	12302.67973
68	12277.00167
69	12253.31333
70	12239.01387
71	12210.15218
72	12195.94371
73	12183.2013
74	12168.44002
75	12151.21725
76	12132.99709
77	12111.6735
78	12088.69212
79	12077.56719
80	12062.88201
81	12043.48716
82	12028.85514
83	12016.55683
84	12001.01098
85	11984.00553
86	11963.98634
87	11954.58329
88	11936.39837
89	11923.20381
90	11907.34138
91	11897.77122
92	11885.08863
93	11867.71209
94	11855.88003
95	11844.84944
96	11823.85545
97	11815.00338
98	11804.79029
99	11791.77944
100	11779.83865
101	11767.64632
102	11757.34821
103	11746.19468
104	11738.67259
105	11728.40647
106	11714.99569
107	11703.16741
108	11693.37055
109	11681.69108
110	11669.7901
111	11662.94493
112	11651.82349
113	11640.17547
114	11632.89774
115	11624.46464
116	11617.29302
117	11611.10348
118	11604.76826
119	11596.45388
120	11588.57011
121	11580.03337
122	11571.2121
123	11563.12095
124	11555.79031
125	11548.05585
126	11536.39366
127	11526.73626
128	11521.73311
129	11515.46947
130	11506.2322
131	11499.63507
132	11491.95382
133	11482.26536
134	11474.06188
135	11467.68133
136	11460.59533
137	11455.03323
138	11449.36072
139	11442.47804
140	11437.08262
141	11427.39033
142	11419.79983
143	11411.34689
144	11395.96502
145	11389.07624
146	11382.43508
147	11377.55729
148	11372.39014
149	11367.36168
150	11361.49689
151	11355.84709
152	11351.40145
153	11343.53869
154	11335.79817
155	11329.5778
156	11322.11096
157	11315.67038
158	11309.4574
159	11303.1421
160	11295.61058
161	11291.42708
162	11280.0553
163	11273.99715
164	11269.37091
165	11263.19067
166	11258.88145
167	11253.66091
168	11246.11258
169	11238.98813
170	11232.44499
171	11227.73253
172	11223.26645
173	11218.76948
174	11214.75814
175	11210.4298
176	11205.57218
177	11200.6825
178	11195.71548
179	11188.58222
180	11180.78017
181	11176.12776
182	11170.30491
183	11165.83729
184	11162.8376
185	11157.99682
186	11152.65182
187	11148.52362
188	11137.11971
189	11130.45883
190	11126.9871
191	11123.69716
192	11119.82743
193	11113.4326
194	11108.99042
195	11104.83009
196	11101.24345
197	11097.5153
198	11087.37596
199	11083.37944
200	11080.09688
201	11075.54217
202	11070.84139
203	11066.96208
204	11064.27982
205	11061.15588
206	11055.24602
207	11051.3929
208	11046.97459
209	11042.04673
210	11038.06811
211	11032.85999
212	11029.81238
213	11021.83777
214	11017.40373
215	11014.31801
216	11009.33588
217	11005.3575
218	11001.32719
219	10996.59068
220	10992.43134
221	10989.55641
222	10986.83004
223	10983.22362
224	10979.67908
225	10975.7477
226	10972.13846
227	10967.819
228	10965.17937
229	10961.33688
230	10954.856
231	10950.77442
232	10947.08619
233	10944.67755
234	10941.19554
235	10938.15252
236	10935.16684
237	10925.06061
238	10921.09304
239	10918.8165
240	10915.84145
241	10913.72152
242	10908.03248
243	10905.78311
244	10901.08184
245	10896.73897
246	10894.02306
247	10889.45984
248	10885.92642
249	10883.70694
250	10881.29045
251	10876.64183
252	10873.14574
253	10869.90258
254	10867.30575
255	10864.32105
256	10861.70143
257	10859.51282
258	10856.58504
259	10853.44003
260	10850.77243
261	10846.63613
262	10844.47585
263	10841.21797
264	10839.18575
265	10834.9145
266	10832.35455
267	10828.88839
268	10826.29079
269	10821.70695
270	10818.90217
271	10815.40895
272	10810.94245
273	10808.97707
274	10806.36468
275	10804.49714
276	10800.57314
277	10798.50674
278	10796.21619
279	10794.04493
280	10790.92804
281	10787.17881
282	10785.19918
283	10782.20309
284	10778.2176
285	10774.5169
286	10772.2501
287	10769.49721
288	10765.11352
289	10761.38432
290	10759.48793
291	10757.62852
292	10755.7333
293	10753.42324
294	10751.5266
295	10746.60096
296	10743.08983
297	10739.06912
298	10736.51415
299	10733.56844
300	10730.59102
301	10728.78884
302	10726.37935
303	10723.03251
304	10719.33436
305	10717.07413
306	10714.72583
307	10712.90721
308	10710.05127
309	10708.27944
310	10705.47475
311	10701.82882
312	10699.40115
313	10697.44908
314	10694.70167
315	10692.76847
316	10689.34727
317	10687.68583
318	10684.09093
319	10681.36921
320	10679.66011
321	10678.03905
322	10675.22582
323	10672.57687
324	10669.61963
325	10668.00005
326	10666.32484
327	10662.81923
328	10661.14378
329	10659.51498
330	10657.55695
331	10656.17096
332	10653.18767
333	10650.84363
334	10648.54167
335	10645.83654
336	10643.38448
337	10641.83907
338	10638.56426
339	10636.92551
340	10635.18163
341	10633.55833
342	10631.70762
343	10628.4076
344	10625.91948
345	10623.61927
346	10621.64714
347	10620.08198
348	10617.58504
349	10615.57824
350	10613.91024
351	10610.5533
352	10608.58662
353	10605.87275
354	10604.07643
355	10602.2107
356	10599.85242
357	10598.04259
358	10596.62521
359	10593.79882
360	10591.78125
361	10590.41942
362	10588.60537
363	10586.90247
364	10584.48994
365	10583.00547
366	10580.7402
367	10575.92241
368	10573.46246
369	10571.4668
370	10569.43212
371	10566.68799
372	10562.20368
373	10558.85975
374	10556.57454
375	10554.16728
376	10550.26
377	10548.64186
378	10546.24104
379	10544.63094
380	10543.20201
381	10541.7024
382	10539.90923
383	10537.17534
384	10536.11752
385	10534.33699
386	10532.9608
387	10531.62076
388	10529.67618
389	10527.78451
390	10526.48768
391	10523.07391
392	10521.22281
393	10517.21375
394	10515.72684
395	10514.28732
396	10509.76524
397	10508.02179
398	10506.57098
399	10504.8088
400	10503.19414
401	10501.87695
402	10499.50635
403	10497.57079
404	10495.10479
405	10493.25425
406	10490.11298
407	10488.27164
408	10486.02784
409	10483.19761
410	10480.42906
411	10478.12123
412	10476.08523
413	10473.20329
414	10471.01926
415	10469.53879
416	10466.90101
417	10465.53414
418	10464.1758
419	10462.71776
420	10460.96642
421	10459.33191
422	10456.8022
423	10455.07931
424	10453.32899
425	10452.0319
426	10449.88209
427	10448.59889
428	10446.3881
429	10445.00147
430	10442.9761
431	10439.63787
432	10437.91954
433	10435.73342
434	10432.36841
435	10430.62851
436	10428.72399
437	10425.07416
438	10423.12518
439	10421.77227
440	10420.41167
441	10417.33066
442	10415.57374
443	10412.91597
444	10410.78915
445	10409.72574
446	10408.46439
447	10406.92606
448	10405.10058
449	10403.5274
450	10402.23942
451	10398.59868
452	10396.59982
453	10395.14174
454	10394.00683
455	10391.92449
456	10390.71543
457	10389.51698
458	10387.2623
459	10384.98913
460	10383.87539
461	10382.65393
462	10380.62211
463	10378.58704
464	10376.84902
465	10375.43351
466	10374.40424
467	10372.79661
468	10371.0026
469	10369.43373
470	10368.32876
471	10367.04787
472	10365.86736
473	10364.1108
474	10362.89886
475	10361.36781
476	10360.22198
477	10358.95346
478	10357.29122
479	10356.16041
480	10354.55009
481	10352.7293
482	10350.81942
483	10349.66635
484	10348.57686
485	10346.17742
486	10344.8813
