iter	Passed	Remaining
0	69	69180
1	144	72347
2	214	71145
3	280	69862
4	351	69974
5	422	69993
6	497	70524
7	568	70484
8	635	69992
9	709	70257
10	778	69976
11	850	70045
12	922	70057
13	1001	70564
14	1079	70914
15	1154	70991
16	1225	70844
17	1296	70705
18	1375	71002
19	1441	70613
20	1505	70201
21	1570	69828
22	1636	69529
23	1700	69154
24	1765	68852
25	1827	68463
26	1890	68126
27	1958	67982
28	2024	67799
29	2091	67640
30	2157	67449
31	2225	67329
32	2296	67281
33	2372	67403
34	2445	67414
35	2516	67398
36	2587	67348
37	2658	67312
38	2723	67119
39	2790	66965
40	2854	66761
41	2921	66631
42	2988	66501
43	3053	66343
44	3119	66209
45	3185	66062
46	3256	66039
47	3324	65937
48	3391	65821
49	3459	65726
50	3528	65651
51	3588	65417
52	3653	65277
53	3720	65184
54	3864	66401
55	3949	66577
56	4035	66769
57	4119	66908
58	4197	66954
59	4263	66795
60	4331	66675
61	4411	66740
62	4504	66989
63	4677	68408
64	4782	68801
65	4918	69597
66	5006	69718
67	5092	69799
68	5225	70506
69	5333	70858
70	5403	70708
71	5475	70573
72	5551	70491
73	5622	70356
74	5695	70246
75	5765	70098
76	5857	70217
77	5918	69962
78	5985	69778
79	6049	69564
80	6107	69298
81	6167	69049
82	6228	68808
83	6285	68545
84	6347	68324
85	6408	68107
86	6473	67929
87	6535	67732
88	6599	67555
89	6666	67406
90	6727	67201
91	6796	67081
92	6895	67249
93	6993	67405
94	7064	67299
95	7135	67194
96	7201	67044
97	7264	66865
98	7334	66747
99	7399	66597
100	7460	66405
101	7523	66240
102	7588	66083
103	7653	65941
104	7712	65737
105	7780	65619
106	7837	65406
107	7904	65287
108	7964	65101
109	8025	64933
110	8091	64806
111	8154	64651
112	8221	64533
113	8285	64396
114	8346	64228
115	8415	64128
116	8479	63995
117	8545	63872
118	8612	63764
119	8672	63599
120	8736	63463
121	8803	63357
122	8866	63221
123	8928	63074
124	8996	62978
125	9058	62835
126	9121	62702
127	9184	62567
128	9254	62484
129	9329	62435
130	9393	62315
131	9456	62183
132	9517	62043
