iter	RMSE
0	79068.344
1	76686.93567
2	74418.17724
3	72090.03347
4	70137.81145
5	67945.51712
6	65735.75011
7	64070.23502
8	62196.66804
9	60554.78003
10	59019.27192
11	57456.3713
12	55933.44082
13	54644.90241
14	53324.53402
15	52073.96538
16	50809.25885
17	49717.9933
18	48453.42856
19	47269.8501
20	46110.69242
21	44996.19412
22	44106.70185
23	43251.92582
24	42422.41306
25	41581.08972
26	40763.4915
27	39978.51699
28	39202.17927
29	38414.67441
30	37721.66738
31	37022.14518
32	36371.80644
33	35767.35821
34	35192.14423
35	34552.02257
36	34001.17636
37	33448.78982
38	32907.39087
39	32441.75609
40	32027.76457
41	31509.86389
42	31117.43842
43	30707.30238
44	30309.89697
45	29952.84332
46	29561.86318
47	29151.21569
48	28765.58054
49	28433.62752
50	28172.68946
51	27864.09825
52	27559.71935
53	27239.96757
54	26932.12952
55	26657.15757
56	26441.51775
57	26158.69013
58	25954.08823
59	25721.66801
60	25465.53549
61	25235.58605
62	24968.72442
63	24790.46983
64	24533.33749
65	24303.2445
66	24093.72983
67	23907.5576
68	23659.15043
69	23447.05258
70	23284.67304
71	23086.4534
72	22876.37921
73	22745.8049
74	22614.48454
75	22446.42087
76	22290.9654
77	22175.55701
78	22085.07246
79	21948.061
80	21793.69489
81	21657.1792
82	21539.19988
83	21421.03537
84	21296.40983
85	21209.96359
86	21128.59382
87	21012.68267
88	20931.49622
89	20818.87801
90	20723.39979
91	20565.16733
92	20476.00864
93	20400.31513
94	20334.18082
95	20227.90496
96	20153.91576
97	20068.75396
98	19961.34876
99	19857.8871
100	19798.78767
101	19727.98248
102	19619.71789
103	19537.4419
104	19500.60052
105	19433.00093
106	19358.15023
107	19270.12249
108	19189.09846
109	19109.33613
110	19057.19429
111	18945.13703
112	18876.97542
113	18805.86558
114	18724.82778
115	18661.52964
116	18575.45111
117	18527.64302
118	18512.78584
119	18455.9195
120	18390.61043
121	18313.48978
122	18246.85693
123	18201.79054
124	18120.1157
125	18054.76718
126	17997.01681
127	17938.79808
128	17907.89075
129	17861.09508
130	17804.82631
131	17736.61344
132	17671.9094
133	17635.39067
134	17570.75533
135	17509.70693
136	17439.06926
137	17379.15015
138	17316.18871
139	17266.09412
140	17216.08022
141	17144.55098
142	17092.18922
143	17036.17906
144	16971.84699
145	16897.40763
146	16846.50842
147	16784.41167
148	16756.74483
149	16734.08923
150	16669.09959
151	16648.83764
152	16572.44092
153	16526.99135
154	16482.44055
155	16440.3041
156	16418.31702
157	16342.72224
158	16299.4437
159	16256.87348
160	16197.09385
161	16138.71239
162	16102.98482
163	16059.53873
164	16020.75345
165	15966.31702
166	15912.27154
167	15850.32124
168	15795.96797
169	15760.42613
170	15731.61924
171	15687.30369
172	15666.62834
173	15608.90987
174	15554.56381
175	15511.12188
176	15468.28388
177	15420.83927
178	15368.89406
179	15312.41514
180	15270.45144
181	15226.04033
182	15199.06907
183	15178.07374
184	15127.97159
185	15101.53383
186	15084.09
187	15048.6636
188	14995.05423
189	14942.05915
190	14904.02025
191	14858.95694
192	14817.67803
193	14781.68078
194	14735.88479
195	14691.80608
196	14677.61883
197	14644.06623
198	14595.4513
199	14579.76189
