iter	Passed	Remaining
0	9	9598
1	23	11554
2	34	11607
3	42	10492
4	49	9850
5	55	9193
6	61	8772
7	67	8358
8	73	8124
9	79	7848
10	85	7657
11	91	7549
12	97	7395
13	103	7280
14	110	7239
15	115	7113
16	121	7022
17	127	6933
18	132	6845
19	139	6839
20	145	6802
21	152	6773
22	157	6708
23	163	6637
24	168	6588
25	174	6551
26	180	6502
27	185	6456
28	191	6420
29	197	6387
30	203	6352
31	209	6323
32	214	6290
33	220	6266
34	226	6238
35	232	6220
36	237	6193
37	245	6215
38	252	6215
39	258	6201
40	264	6177
41	269	6154
42	275	6133
43	281	6110
44	287	6091
45	292	6071
46	298	6049
47	304	6032
48	309	6012
49	315	5989
50	321	5978
51	326	5958
52	332	5943
53	338	5928
54	344	5912
55	349	5896
56	355	5884
57	361	5872
58	367	5864
59	373	5848
60	378	5833
61	384	5822
62	390	5807
63	395	5790
64	401	5775
65	407	5763
66	412	5750
67	418	5736
68	424	5721
69	429	5709
70	435	5697
71	441	5685
72	446	5674
73	452	5664
74	457	5647
75	463	5635
76	469	5622
77	475	5616
78	480	5606
79	486	5593
80	491	5581
81	497	5575
82	503	5563
83	508	5549
84	514	5540
85	520	5530
86	525	5517
87	531	5509
88	537	5496
89	542	5483
90	548	5480
91	554	5473
92	560	5464
93	566	5461
94	572	5454
95	578	5445
96	584	5439
97	589	5430
98	596	5427
99	602	5418
100	607	5409
101	614	5408
102	619	5396
103	625	5388
104	631	5383
105	637	5375
106	642	5366
107	648	5357
108	654	5346
109	659	5339
110	665	5333
111	671	5327
112	677	5321
113	683	5313
114	689	5305
115	695	5298
116	700	5287
117	706	5280
118	712	5275
119	718	5269
120	724	5263
121	730	5255
122	735	5247
123	741	5239
124	747	5231
125	753	5224
126	758	5214
127	764	5205
128	771	5208
129	777	5204
130	783	5196
131	789	5189
132	795	5182
133	801	5177
134	807	5172
135	812	5164
136	818	5156
137	824	5149
138	830	5141
139	836	5136
140	842	5130
141	844	5104
142	850	5097
143	856	5091
144	862	5084
145	868	5078
146	875	5077
147	880	5070
148	886	5064
149	893	5061
150	899	5055
151	905	5050
152	911	5043
153	916	5036
154	922	5031
155	928	5025
156	934	5016
157	936	4988
158	942	4982
159	946	4966
160	951	4959
161	958	4959
162	964	4952
163	970	4946
164	978	4952
165	985	4953
166	993	4955
167	1001	4958
168	1009	4963
169	1015	4959
170	1020	4949
171	1026	4942
172	1032	4935
173	1039	4933
174	1044	4925
175	1050	4916
176	1053	4899
177	1059	4891
178	1064	4883
179	1071	4879
180	1077	4874
181	1084	4872
182	1094	4885
183	1102	4889
184	1109	4888
185	1116	4885
186	1123	4885
187	1130	4884
188	1138	4887
189	1147	4890
190	1154	4891
191	1160	4883
192	1167	4879
193	1172	4872
194	1178	4864
195	1184	4860
196	1190	4853
197	1196	4846
198	1202	4841
199	1208	4835
200	1211	4816
201	1217	4810
202	1223	4802
203	1228	4795
204	1234	4789
205	1240	4782
206	1246	4774
207	1252	4768
208	1258	4762
209	1264	4756
210	1270	4749
211	1275	4740
212	1281	4734
213	1286	4726
214	1292	4720
215	1298	4713
216	1304	4705
217	1310	4699
218	1315	4692
219	1321	4685
220	1327	4678
221	1332	4671
222	1338	4663
223	1344	4656
224	1349	4649
225	1355	4641
226	1361	4635
227	1367	4629
228	1372	4622
229	1378	4616
230	1384	4608
231	1389	4599
232	1395	4593
233	1401	4587
234	1408	4584
235	1416	4584
236	1423	4583
237	1429	4578
238	1435	4571
239	1441	4565
240	1448	4560
241	1453	4554
242	1459	4547
243	1465	4540
244	1471	4533
245	1476	4526
246	1482	4519
247	1488	4512
248	1493	4505
249	1499	4499
250	1505	4492
251	1511	4486
252	1516	4478
253	1522	4471
254	1530	4470
255	1536	4465
256	1542	4459
257	1548	4453
258	1554	4446
259	1559	4439
260	1565	4433
261	1571	4426
262	1578	4423
263	1584	4416
264	1590	4410
265	1596	4404
266	1602	4398
267	1608	4392
268	1614	4386
269	1619	4378
270	1625	4372
271	1631	4365
272	1636	4358
273	1642	4352
274	1648	4345
275	1653	4338
276	1659	4331
277	1665	4325
278	1671	4318
279	1676	4312
280	1682	4305
281	1688	4299
282	1693	4291
283	1699	4285
284	1705	4279
285	1711	4273
286	1717	4266
287	1723	4259
288	1728	4253
289	1734	4247
290	1740	4240
291	1746	4234
292	1752	4229
293	1759	4225
294	1765	4218
295	1771	4213
296	1777	4206
297	1782	4200
298	1789	4195
299	1795	4188
300	1801	4182
301	1807	4177
302	1813	4171
303	1819	4165
304	1825	4159
305	1831	4153
306	1837	4147
307	1843	4141
308	1848	4134
309	1854	4128
310	1860	4121
311	1865	4114
312	1871	4108
313	1877	4102
314	1883	4095
315	1888	4088
316	1894	4082
317	1900	4075
318	1906	4069
319	1911	4062
320	1917	4056
321	1923	4049
322	1929	4043
323	1934	4037
324	1940	4030
325	1946	4024
326	1952	4018
327	1962	4021
328	1971	4020
329	1977	4014
330	1983	4009
331	1989	4003
332	1995	3997
333	2003	3994
334	2009	3988
335	2014	3981
336	2020	3975
337	2026	3969
338	2032	3963
339	2038	3957
340	2045	3952
341	2050	3945
342	2056	3939
343	2062	3933
344	2068	3927
345	2074	3921
346	2080	3915
347	2086	3908
348	2092	3902
349	2098	3897
350	2104	3890
351	2109	3883
352	2115	3877
353	2120	3870
354	2126	3863
355	2132	3857
356	2137	3850
357	2143	3843
358	2149	3837
359	2154	3830
360	2160	3823
361	2166	3817
362	2172	3811
363	2177	3805
364	2184	3799
365	2189	3792
366	2195	3787
367	2201	3781
368	2206	3773
369	2212	3767
370	2217	3760
371	2223	3753
372	2229	3747
373	2234	3740
374	2240	3733
375	2246	3727
376	2251	3721
377	2257	3714
378	2263	3708
379	2268	3701
380	2274	3695
381	2280	3689
382	2286	3683
383	2291	3676
384	2298	3671
385	2304	3665
386	2310	3659
387	2315	3652
388	2321	3646
389	2327	3640
390	2333	3634
391	2339	3628
392	2345	3623
393	2351	3616
394	2357	3610
395	2365	3608
396	2372	3603
397	2379	3599
398	2386	3594
399	2392	3589
400	2398	3583
401	2404	3576
402	2410	3570
403	2415	3563
404	2421	3556
405	2426	3550
406	2432	3543
407	2438	3537
408	2444	3532
409	2450	3526
410	2456	3520
411	2462	3513
412	2467	3507
413	2473	3501
414	2479	3495
415	2485	3489
416	2491	3482
417	2496	3476
418	2502	3470
419	2508	3464
420	2514	3458
421	2520	3451
422	2525	3445
423	2531	3439
424	2537	3432
425	2543	3426
426	2548	3420
427	2554	3414
428	2560	3407
429	2566	3402
430	2572	3395
431	2578	3389
432	2583	3383
433	2590	3377
434	2595	3371
435	2600	3364
436	2607	3358
437	2613	3352
438	2618	3346
439	2625	3341
440	2630	3334
441	2636	3328
442	2642	3322
443	2648	3316
444	2654	3310
445	2659	3304
446	2665	3297
447	2671	3291
448	2677	3285
449	2683	3279
450	2689	3273
451	2695	3267
452	2700	3261
453	2706	3255
454	2712	3249
455	2718	3243
456	2724	3237
457	2731	3232
458	2737	3226
459	2743	3220
460	2748	3213
461	2754	3207
462	2759	3201
463	2765	3194
464	2771	3188
465	2777	3182
466	2783	3176
467	2789	3170
468	2794	3163
469	2799	3157
470	2806	3151
471	2811	3145
472	2817	3139
473	2823	3132
474	2828	3126
475	2834	3120
476	2840	3114
477	2846	3108
478	2852	3102
479	2858	3096
480	2863	3090
481	2870	3084
482	2875	3078
483	2881	3072
484	2887	3065
485	2893	3059
486	2899	3054
487	2904	3047
488	2910	3041
489	2916	3035
490	2922	3029
491	2928	3023
492	2934	3017
493	2940	3011
494	2946	3005
495	2962	3010
496	2969	3005
497	2975	2999
498	2981	2993
499	2986	2986
500	2992	2980
501	2998	2974
502	3004	2968
503	3010	2962
504	3016	2956
505	3022	2950
506	3027	2944
507	3033	2938
508	3040	2932
509	3046	2927
510	3052	2921
511	3059	2915
512	3065	2909
513	3070	2903
514	3077	2897
