iter	Passed	Remaining
0	2	2403
1	6	3296
2	8	2888
3	10	2652
4	13	2611
5	15	2493
6	16	2396
7	18	2344
8	21	2329
9	23	2292
10	24	2245
11	26	2205
12	28	2175
13	30	2165
14	32	2156
15	34	2146
16	36	2125
17	38	2100
18	40	2086
19	42	2067
20	43	2049
21	45	2036
22	47	2018
23	49	2003
24	51	1998
25	53	1990
26	55	1982
27	56	1969
28	58	1962
29	60	1956
30	62	1948
31	64	1944
32	66	1936
33	68	1936
34	70	1931
35	71	1926
36	73	1918
37	75	1919
38	77	1915
39	79	1912
40	81	1906
41	83	1902
42	85	1897
43	87	1891
44	88	1885
45	90	1883
46	92	1878
47	94	1875
48	96	1873
49	98	1869
50	100	1866
51	102	1860
52	103	1857
53	105	1852
54	107	1848
55	109	1843
56	111	1840
57	113	1835
58	114	1831
59	116	1826
60	118	1821
61	120	1818
62	121	1814
63	123	1809
64	125	1805
65	127	1801
66	129	1797
67	130	1794
68	132	1791
69	134	1789
70	136	1785
71	138	1782
72	140	1778
73	141	1774
74	143	1770
75	145	1766
76	147	1763
77	149	1761
78	150	1758
79	152	1754
80	154	1751
81	156	1747
82	157	1744
83	159	1741
84	161	1737
85	163	1735
86	165	1733
87	167	1730
88	168	1727
89	170	1724
90	172	1721
91	174	1718
92	175	1715
93	177	1713
94	179	1712
95	181	1709
96	183	1707
97	185	1703
98	186	1700
99	188	1698
100	190	1696
101	192	1692
102	194	1694
103	197	1697
104	198	1695
105	200	1692
106	202	1689
107	204	1686
108	205	1683
109	207	1680
110	209	1678
111	211	1676
112	213	1674
113	215	1672
114	216	1668
115	218	1666
116	220	1663
117	222	1660
118	224	1659
119	226	1657
120	227	1655
121	229	1652
122	231	1649
123	233	1646
124	234	1643
125	236	1640
126	238	1639
127	240	1636
128	242	1634
129	243	1631
130	245	1629
131	247	1626
132	248	1623
133	250	1620
134	252	1618
135	254	1616
136	256	1613
137	257	1611
138	259	1609
139	261	1606
140	263	1604
141	265	1601
142	266	1599
143	268	1597
144	270	1594
145	272	1592
146	273	1589
147	275	1587
148	277	1584
149	279	1582
150	280	1579
151	282	1577
152	284	1575
153	286	1572
154	288	1570
155	289	1568
156	291	1566
157	293	1563
158	295	1560
159	296	1558
160	298	1556
161	300	1553
162	302	1551
163	303	1548
164	305	1546
165	307	1544
166	309	1542
167	310	1540
168	312	1537
169	314	1535
170	316	1533
171	317	1530
172	319	1528
173	321	1526
174	323	1524
175	325	1522
176	326	1520
177	328	1518
178	330	1516
179	332	1513
180	334	1511
181	335	1509
182	337	1507
183	339	1504
184	340	1502
185	342	1499
186	344	1497
187	346	1495
188	347	1493
189	349	1491
190	351	1488
191	353	1487
192	355	1484
193	356	1482
194	358	1480
195	360	1478
196	362	1475
197	363	1473
198	365	1471
199	367	1469
200	369	1467
201	370	1465
202	372	1463
203	374	1460
204	376	1459
