iter	RMSE
0	1.100241579
1	1.047190708
2	0.9987120901
3	0.9592094631
4	0.9206382965
5	0.8844447782
6	0.8554474401
7	0.8264851042
8	0.8015483568
9	0.7770122359
10	0.7577961665
11	0.7343523144
12	0.7189871018
13	0.7057005382
14	0.6890846609
15	0.6764970679
16	0.6663048556
17	0.6541628042
18	0.6453356209
19	0.6378434578
20	0.6303168471
21	0.6221343481
22	0.6157625355
23	0.6071664124
24	0.6004781678
25	0.5958257233
26	0.5896331768
27	0.5826697918
28	0.5780500592
29	0.5731403103
30	0.5695299914
31	0.5670037933
32	0.5644321539
33	0.5617806341
34	0.5578575219
35	0.5559118766
36	0.5536218698
37	0.5505640739
38	0.5475416445
39	0.5448817855
40	0.5423035676
41	0.5405206498
42	0.5378545126
43	0.5362155749
44	0.5346849868
45	0.5332640342
46	0.531425229
47	0.5289376522
48	0.5269214223
49	0.5247180047
50	0.522672008
51	0.5211541612
52	0.5202123482
53	0.5188939778
54	0.5178036376
55	0.5165682655
56	0.5142121668
57	0.5130745838
58	0.5120652105
59	0.5108256127
60	0.5099493006
61	0.5091291339
62	0.5079811554
63	0.5069916233
64	0.506255041
65	0.5050410765
66	0.5038142311
67	0.5028880947
68	0.501424033
69	0.5004559307
70	0.4990281098
71	0.4983868119
72	0.4976260587
73	0.4968376643
74	0.495645965
75	0.4948398539
76	0.4939671279
77	0.49213968
78	0.4913043903
79	0.4906251441
80	0.4892759048
81	0.4884635527
82	0.4877642803
83	0.4869116392
84	0.4858048918
85	0.4850919405
86	0.4840194981
87	0.4834452523
88	0.4826834578
89	0.4818746038
90	0.4809944472
91	0.480348532
92	0.4795677877
93	0.4787186484
94	0.4774700763
95	0.4766392735
96	0.4760872943
97	0.4751454385
98	0.4743276062
99	0.4736784992
100	0.4731299154
101	0.4726820926
102	0.4719083295
103	0.4711958554
104	0.470591369
105	0.4700488411
106	0.4694317312
107	0.4686958939
108	0.4679439452
109	0.4668869364
110	0.4660600486
111	0.4652579901
112	0.4649097533
113	0.4643447386
114	0.4637821469
115	0.4629774344
116	0.4621962804
117	0.4616207274
118	0.4608880721
119	0.4603749685
120	0.4592903159
121	0.4588633729
122	0.4583312147
123	0.4576022448
124	0.4572209461
125	0.4566719749
126	0.4561389881
127	0.4555544771
128	0.4549705321
129	0.4544877048
130	0.4540684035
131	0.4535820405
132	0.4530654578
133	0.4526057562
134	0.4521060158
135	0.4514840134
136	0.4508481117
137	0.4502548381
138	0.4496984454
139	0.4485694205
140	0.4479697988
