iter	Passed	Remaining
0	1275	59960
1	2563	58963
2	3810	57161
3	5098	56087
4	6407	55101
5	7713	53993
6	9007	52756
7	10331	51655
8	11643	50454
9	12977	49315
10	14265	47982
11	15600	46800
12	16987	45735
13	18355	44577
14	19686	43310
15	20995	41990
16	22309	40681
17	23615	39358
18	24917	38031
19	26228	36719
20	27524	35389
21	29065	34350
22	30381	33023
23	31673	31673
24	32959	30322
25	34274	29001
26	35575	27669
27	36891	26350
28	38183	25016
29	39470	23682
30	40769	22357
31	42075	21037
32	43387	19721
33	44720	18414
34	46039	17100
35	47340	15780
36	48668	14469
37	49953	13145
38	51247	11826
39	52554	10510
40	53825	9189
41	55130	7875
42	56408	6559
43	57701	5245
44	59012	3934
45	60302	2621
46	61584	1310
47	62912	0
