date,name,match_points,match_percentage
2025-07-02,"""Da Cruz, David""",150.0000,100.0000%
2025-07-02,"""Rabie, Theo""",131.9755,87.9837%
2025-07-02,"""Morris, Bevan""",120.3118,80.2079%
2025-07-02,"""De Gouveia, Roberto""",112.6650,75.1100%
2025-07-02,"""De Gouveia, Roberto (P)""",98.1508,65.4339%
2025-07-02,"""Plein, Aubrey""",93.0970,62.0647%
2025-07-02,"""Gillespie, Josh""",92.1418,61.4279%
2025-07-02,"""Plein, Noah""",88.7456,59.1637%
2025-07-02,"""Moolman, Adrian""",86.9674,57.9783%
2025-07-02,"""Hepton, Harry""",83.1587,55.4391%
2025-07-02,"""Bishop, Mark""",81.6643,54.4429%
2025-07-02,"""Rowe, Connor""",79.9095,53.2730%
2025-07-02,"""Naidoo, Saven""",71.5381,47.6921%
2025-07-02,"""Wei, Darren""",68.6525,45.7683%
2025-07-02,"""Gxagxa, Muzi""",66.7682,44.5121%
2025-07-02,"""Du Plooy, Dewald""",58.4570,38.9713%
2025-07-02,"""Rabie, Theo""",57.7750,38.5167%
2025-07-02,"""Smith, Sheldon""",57.7718,38.5145%
2025-07-02,"""Coetzee, Desmond""",57.6694,38.4463%
2025-07-02,"""Da Silva, Alexia""",54.2559,36.1706%
2025-07-02,"""Docrat, Mohammed""",53.9282,35.9521%
2025-07-02,"""Knox, Nobby""",52.5298,35.0199%
2025-07-02,"""Dineka, Vuyisile""",47.6125,31.7417%
2025-07-02,"""Khumalo, Sabelo""",42.6719,28.4479%
2025-07-02,"""Chemaly, Daniel""",35.5832,23.7221%
2025-07-02,"""Bardenhorst, Jeandre""",28.2923,18.8615%
2025-07-02,"""Levinrad, Dayne""",25.3304,16.8869%
2025-07-02,"""Veysel, Karan""",17.0627,11.3751%
2025-07-02,"""Jones, Nicholas""",14.1149,9.4099%
2025-07-02,"""Hartzenberg, Byron""",13.8499,9.2333%
2025-07-02,"""Wood, Jonathan""",12.9088,8.6059%
2025-07-02,"""Rahman, Aqeel""",11.5790,7.7193%
2025-07-02,"""Msibi, Jabulani""",9.7931,6.5287%
2025-07-02,"""Dodge, Dave""",8.7948,5.8632%
2025-07-02,"""Mabaso, Siphiwe""",8.7648,5.8432%
2025-07-02,"""Tshabalala, Dumisani Alexius""",5.5364,3.6909%
2025-07-02,"""Docrat, Mohammed""",0.0000,0.0000%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Plein, Aubrey""",75.0000,100.00%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Da Cruz, David""",75.0000,100.00%
2025-07-02,"""Rabie, Theo""",69.9061,93.21%
2025-07-02,"""Morris, Bevan""",59.4086,79.21%
2025-07-02,"""Hepton, Harry""",40.2155,53.62%
2025-07-02,"""Wei, Darren""",36.3695,48.49%
2025-07-02,"""Rowe, Connor""",33.0990,44.13%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Plein, Noah 2""",75.0000,100.00%
2025-07-02,"""De Gouveia, Roberto (P)""",72.5460,96.73%
2025-07-02,"""Plein, Noah""",69.9832,93.31%
2025-07-02,"""Moolman, Adrian""",69.8853,93.18%
2025-07-02,"""Dodge, Dave 2""",65.5460,87.39%
2025-07-02,"""Gxagxa, Muzi""",47.6010,63.47%
2025-07-02,"""Dineka, Vuyisile 2""",43.7302,58.31%
2025-07-02,"""Coetzee, Desmond""",41.3537,55.14%
2025-07-02,"""Da Silva, Alexia""",40.4481,53.93%
2025-07-02,"""Khumalo, Sabelo""",37.3199,49.76%
2025-07-02,"""Knox, Nobby""",31.4062,41.87%
